,,B-Baseline
468.88,722.182,-135.93727869454767
470.649,724.727,-133.3922786945477
472.418,718.97,-139.14927869454766
474.184,719.616,-138.5032786945477
475.952,719.172,-138.94727869454766
477.718,718.464,-139.65527869454763
479.485,720.364,-137.75527869454766
481.25,726.263,-131.85627869454765
483.017,720.97,-137.14927869454766
484.781,719.475,-138.64427869454767
486.545,719.212,-138.9072786945477
488.308,717.96,-140.15927869454765
490.072,712.525,-145.5942786945477
491.835,714.343,-143.77627869454773
493.597,709.05,-149.06927869454773
495.359,705.232,-152.88727869454772
497.121,699.374,-158.74527869454766
498.883,700.162,-157.95727869454765
500.644,695.091,-163.02827869454768
502.403,693.454,-164.66527869454774
504.163,693.818,-164.3012786945477
505.921,689.212,-168.9072786945477
507.681,689.435,-168.68427869454774
509.439,688.384,-169.73527869454767
511.198,686.646,-171.47327869454773
512.955,685.859,-172.26027869454765
514.711,685.636,-172.48327869454772
516.467,686.202,-171.9172786945477
518.223,685.172,-172.94727869454766
519.978,683.677,-174.44227869454767
521.733,683.293,-174.82627869454768
523.488,685.071,-173.04827869454766
525.243,681.091,-177.02827869454768
526.997,686.848,-171.27127869454773
528.75,684.95,-173.16927869454764
530.502,689.576,-168.54327869454767
532.255,686.121,-171.9982786945477
534.006,686.808,-171.3112786945477
535.758,690.202,-167.9172786945477
537.508,691.232,-166.88727869454772
539.26,694.707,-163.4122786945477
541.009,692.485,-165.63427869454767
542.758,692.748,-165.37127869454764
544.507,698.586,-159.53327869454768
546.255,697.152,-160.96727869454764
548.003,701.353,-156.76627869454774
549.751,705.091,-153.02827869454768
551.498,712.869,-145.25027869454766
553.245,717.434,-140.68527869454772
554.992,718.909,-139.2102786945477
556.738,723.657,-134.46227869454765
558.482,729.798,-128.3212786945477
560.228,738.263,-119.85627869454765
561.971,740.545,-117.57427869454773
563.716,744.949,-113.17027869454773
565.459,752.768,-105.35127869454766
567.201,756.828,-101.29127869454771
568.945,763.495,-94.62427869454768
570.687,771.535,-86.58427869454772
572.428,773.818,-84.3012786945477
574.169,774.545,-83.57427869454773
575.91,771.899,-86.22027869454769
577.65,762.929,-95.19027869454771
579.39,758.202,-99.91727869454769
581.13,753.293,-104.82627869454768
582.867,742.869,-115.25027869454766
584.606,742.97,-115.14927869454766
586.345,737.879,-120.24027869454767
588.081,736.263,-121.85627869454765
589.819,730.04,-128.07927869454772
591.555,732.545,-125.57427869454773
593.29,726.849,-131.27027869454764
595.027,726.222,-131.8972786945477
596.762,729.777,-128.34227869454764
598.496,724.263,-133.85627869454765
600.23,724.505,-133.6142786945477
601.964,728.0,-130.1192786945477
603.697,722.323,-135.7962786945477
605.43,730.667,-127.45227869454766
607.163,728.101,-130.0182786945477
608.895,728.02,-130.0992786945477
610.625,732.424,-125.69527869454771
612.357,730.566,-127.55327869454766
614.088,735.939,-122.18027869454772
615.817,729.232,-128.88727869454772
617.548,733.03,-125.08927869454772
619.276,731.455,-126.66427869454765
621.004,729.051,-129.06827869454764
622.732,728.222,-129.8972786945477
624.461,729.091,-129.02827869454768
626.188,729.839,-128.28027869454763
627.915,734.505,-123.61427869454769
629.641,735.535,-122.58427869454772
631.367,735.576,-122.54327869454767
633.093,734.949,-123.17027869454773
634.817,735.535,-122.58427869454772
636.542,737.778,-120.34127869454767
638.266,740.202,-117.91727869454769
639.989,739.616,-118.5032786945477
641.713,741.01,-117.1092786945477
643.435,739.96,-118.15927869454765
645.158,739.091,-119.02827869454768
646.879,744.162,-113.95727869454765
648.6,742.384,-115.73527869454767
650.32,744.061,-114.05827869454765
652.04,744.283,-113.83627869454767
653.76,746.566,-111.55327869454766
655.48,750.364,-107.75527869454766
657.199,746.141,-111.97827869454773
658.917,744.202,-113.91727869454769
660.636,744.707,-113.4122786945477
662.354,744.748,-113.37127869454764
664.07,742.444,-115.67527869454773
665.787,742.242,-115.87727869454773
667.503,741.919,-116.2002786945477
669.219,742.909,-115.2102786945477
670.934,741.252,-116.86727869454774
672.65,739.212,-118.9072786945477
674.364,738.949,-119.17027869454773
676.078,738.121,-119.99827869454771
677.791,739.899,-118.22027869454769
679.504,737.01,-121.1092786945477
681.216,740.081,-118.03827869454767
682.929,737.333,-120.78627869454772
684.641,736.747,-121.37227869454773
686.352,739.515,-118.6042786945477
688.061,737.515,-120.6042786945477
689.772,737.98,-120.13927869454767
691.483,736.525,-121.59427869454771
693.191,741.071,-117.04827869454766
694.899,737.778,-120.34127869454767
696.609,742.141,-115.97827869454773
698.316,741.536,-116.58327869454774
700.023,742.202,-115.91727869454769
701.732,744.545,-113.57427869454773
703.438,745.212,-112.9072786945477
705.144,748.626,-109.49327869454771
706.85,745.96,-112.15927869454765
708.554,744.647,-113.47227869454764
710.259,750.586,-107.53327869454768
711.964,751.757,-106.36227869454774
713.668,748.849,-109.27027869454764
715.37,752.162,-105.95727869454765
717.074,752.848,-105.27127869454773
718.775,757.01,-101.1092786945477
720.479,762.424,-95.69527869454771
722.179,761.354,-96.76527869454765
723.88,759.455,-98.66427869454765
725.582,767.636,-90.48327869454772
727.282,763.01,-95.1092786945477
728.982,764.182,-93.93727869454767
730.681,768.0,-90.11927869454769
732.38,770.909,-87.2102786945477
734.076,770.647,-87.47227869454764
735.775,773.98,-84.13927869454767
737.473,771.475,-86.64427869454767
739.17,770.243,-87.87627869454764
740.866,773.071,-85.04827869454766
742.563,777.758,-80.36127869454765
744.257,779.98,-78.13927869454767
745.954,775.394,-82.72527869454768
747.648,778.424,-79.69527869454771
749.342,777.636,-80.48327869454772
751.035,782.849,-75.27027869454764
752.728,782.182,-75.93727869454767
754.421,781.919,-76.2002786945477
756.113,780.95,-77.16927869454764
757.806,786.0,-72.11927869454769
759.497,784.02,-74.0992786945477
761.189,784.323,-73.79627869454771
762.878,784.526,-73.59327869454773
764.569,784.121,-73.99827869454771
766.258,788.566,-69.55327869454766
767.948,790.727,-67.39227869454771
769.636,787.717,-70.4022786945477
771.326,788.485,-69.63427869454767
773.013,788.141,-69.97827869454773
774.7,786.263,-71.85627869454765
776.387,788.869,-69.25027869454766
778.073,789.879,-68.24027869454767
779.759,794.323,-63.79627869454771
781.445,791.273,-66.84627869454766
783.13,790.606,-67.5132786945477
784.815,789.212,-68.9072786945477
786.498,792.485,-65.63427869454767
788.183,793.657,-64.46227869454765
789.867,793.01,-65.1092786945477
791.549,797.273,-60.846278694547664
