		B-Baseline
682.929	233.455	-19.966302391084753
684.641	236.505	-16.91630239108477
686.352	234.323	-19.098302391084758
688.061	232.95	-20.471302391084777
689.772	231.859	-21.562302391084756
691.483	234.505	-18.91630239108477
693.191	234.727	-18.69430239108476
694.899	233.111	-20.310302391084775
696.609	236.242	-17.179302391084775
698.316	232.828	-20.593302391084762
700.023	233.434	-19.987302391084768
701.732	235.212	-18.209302391084776
703.438	234.788	-18.633302391084754
705.144	236.626	-16.79530239108476
706.85	235.859	-17.562302391084756
708.554	238.04	-15.381302391084773
710.259	237.172	-16.24930239108477
711.964	237.616	-15.805302391084751
713.668	236.646	-16.77530239108478
715.37	238.303	-15.118302391084768
717.074	236.788	-16.633302391084754
718.775	239.434	-13.987302391084768
720.479	238.263	-15.15830239108476
722.179	240.182	-13.239302391084777
723.88	239.717	-13.704302391084752
725.582	241.03	-12.391302391084764
727.282	241.515	-11.906302391084779
728.982	241.131	-12.290302391084765
730.681	239.152	-14.269302391084778
732.38	240.647	-12.774302391084774
734.076	240.889	-12.532302391084755
735.775	241.333	-12.088302391084767
737.473	242.667	-10.754302391084764
739.17	241.636	-11.78530239108477
740.866	244.283	-9.138302391084778
742.563	242.343	-11.078302391084776
744.257	242.768	-10.653302391084765
745.954	242.303	-11.118302391084768
747.648	243.071	-10.350302391084767
749.342	243.717	-9.704302391084752
751.035	245.273	-8.14830239108477
752.728	246.586	-6.835302391084753
754.421	244.101	-9.320302391084766
756.113	243.232	-10.189302391084766
757.806	243.919	-9.502302391084754
759.497	243.798	-9.623302391084763
761.189	245.96	-7.461302391084757
762.878	244.242	-9.179302391084775
764.569	244.162	-9.25930239108476
766.258	245.131	-8.290302391084765
767.948	246.04	-7.381302391084773
769.636	246.343	-7.078302391084776
771.326	248.687	-4.7343023910847535
773.013	247.697	-5.724302391084763
774.7	247.151	-6.270302391084755
776.387	249.838	-3.5833023910847714
778.073	250.909	-2.5123023910847735
779.759	250.343	-3.078302391084776
781.445	248.465	-4.956302391084762
783.13	247.354	-6.067302391084752
784.815	249.616	-3.8053023910847514
786.498	249.515	-3.906302391084779
788.183	248.849	-4.572302391084776
789.867	248.0	-5.421302391084765
791.549	248.343	-5.078302391084776
793.23	248.384	-5.037302391084779
794.914	248.788	-4.633302391084754
796.595	250.222	-3.199302391084757
798.275	247.455	-5.966302391084753
799.956	249.677	-3.744302391084773
801.635	250.626	-2.7953023910847605
803.315	249.576	-3.845302391084772
804.995	251.091	-2.330302391084757
806.674	251.434	-1.9873023910847678
808.352	251.657	-1.7643023910847546
810.029	250.283	-3.1383023910847783
811.707	255.152	1.7306976089152215
813.385	251.535	-1.8863023910847687
815.06	254.828	1.4066976089152377
816.735	254.02	0.5986976089152449
818.412	253.556	0.1346976089152463
820.087	255.253	1.8316976089152206
821.761	257.636	4.214697608915259
823.435	257.515	4.093697608915221
825.109	258.465	5.04369760891521
826.782	263.212	9.790697608915224
828.455	262.828	9.40669760891521
830.128	261.636	8.214697608915259
831.8	262.566	9.144697608915209
833.472	260.545	7.123697608915251
835.142	260.182	6.760697608915251
836.814	261.273	7.851697608915259
838.483	259.091	5.669697608915243
840.154	260.586	7.164697608915247
841.822	258.323	4.901697608915214
843.491	255.434	2.012697608915232
845.159	256.808	3.3866976089152274
846.826	257.96	4.538697608915214
848.493	256.141	2.7196976089152542
850.16	256.97	3.548697608915262
851.827	257.737	4.315697608915258
853.494	256.95	3.5286976089152233
855.16	258.323	4.901697608915214
856.823	258.687	5.2656976089152465
858.489	257.556	4.134697608915218
860.154	259.03	5.608697608915207
861.817	256.343	2.9216976089152524
863.48	259.515	6.093697608915221
865.144	261.818	8.396697608915218
866.806	262.061	8.639697608915213
868.467	266.404	12.982697608915231
870.129	268.121	14.699697608915216
871.79	270.768	17.346697608915207
873.451	277.03	23.608697608915207
875.111	281.838	28.416697608915257
876.771	293.313	39.89169760891522
878.429	299.838	46.41669760891526
880.089	309.515	56.09369760891522
881.748	319.818	66.39669760891522
883.405	323.273	69.85169760891526
885.063	329.051	75.62969760891522
886.719	327.596	74.17469760891524
888.375	320.748	67.32669760891523
890.031	321.96	68.53869760891521
891.689	315.98	62.55869760891525
893.344	305.394	51.97269760891524
894.998	299.919	46.49769760891522
896.651	289.475	36.05369760891526
898.305	280.848	27.426697608915248
899.959	275.333	21.91169760891526
901.613	272.545	19.12369760891525
903.264	268.606	15.18469760891523
904.917	265.879	12.457697608915254
906.568	263.758	10.336697608915216
908.22	264.889	11.467697608915245
909.87	262.303	8.881697608915232
911.52	263.758	10.336697608915216
913.169	262.545	9.12369760891525
914.818	261.212	7.790697608915224
916.467	259.879	6.457697608915254
918.116	258.747	5.325697608915249
919.764	260.202	6.780697608915233
