,,A-Baseline,B-Baseline
1085.51,291.939,1085.51,224.56968324663006
1087.11,313.354,1087.11,245.98468324663003
1088.71,345.131,1088.71,277.76168324663
1090.31,383.414,1090.31,316.04468324663003
1091.91,427.01,1091.91,359.64068324663003
1093.51,463.03,1093.51,395.66068324663
1095.11,479.717,1095.11,412.34768324663
1096.71,476.303,1096.71,408.93368324663004
1098.31,458.606,1098.31,391.23668324663004
1099.91,426.707,1099.91,359.33768324663004
1101.51,396.141,1101.51,328.77168324663006
1103.1,374.222,1103.1,306.85268324663
1104.7,369.616,1104.7,302.24668324663
1106.3,375.758,1106.3,308.38868324663
1107.89,389.677,1107.89,322.30768324663006
1109.49,416.788,1109.49,349.41868324663005
1111.08,447.939,1111.08,380.56968324663006
1112.68,480.95,1112.68,413.58068324663003
1114.28,511.475,1114.28,444.10568324663006
1115.87,547.253,1115.87,479.8836832466301
1117.46,572.99,1117.46,505.62068324663005
1119.06,584.303,1119.06,516.93368324663
1120.65,579.556,1120.65,512.1866832466301
1122.24,552.99,1122.24,485.62068324663005
1123.83,521.717,1123.83,454.34768324663
1125.42,480.121,1125.42,412.75168324663
1127.02,433.515,1127.02,366.14568324663
1128.6,381.05,1128.6,313.68068324663005
1130.19,327.434,1130.19,260.06468324663007
1131.79,279.98,1131.79,212.61068324663006
1133.37,239.859,1133.37,172.48968324663005
1134.96,208.121,1134.96,140.75168324663005
1136.55,189.879,1136.55,122.50968324663003
1138.14,178.727,1138.14,111.35768324663005
1139.73,171.879,1139.73,104.50968324663003
1141.31,168.202,1141.31,100.83268324663004
1142.9,169.192,1142.9,101.82268324663005
1144.49,167.293,1144.49,99.92368324663005
1146.07,166.424,1146.07,99.05468324663005
1147.66,167.879,1147.66,100.50968324663003
1149.24,167.172,1149.24,99.80268324663004
1150.83,168.586,1150.83,101.21668324663005
1152.41,174.202,1152.41,106.83268324663004
1153.99,178.02,1153.99,110.65068324663005
1155.58,186.121,1155.58,118.75168324663005
1157.16,196.303,1157.16,128.93368324663004
1158.74,204.99,1158.74,137.62068324663005
1160.32,209.616,1160.32,142.24668324663006
1161.9,214.404,1161.9,147.03468324663004
1163.48,212.04,1163.48,144.67068324663003
1165.07,204.202,1165.07,136.83268324663004
1166.64,193.657,1166.64,126.28768324663005
1168.22,177.838,1168.22,110.46868324663004
1169.8,160.222,1169.8,92.85268324663005
1171.38,147.111,1171.38,79.74168324663003
1172.96,132.101,1172.96,64.73168324663004
1174.54,120.485,1174.54,53.11568324663004
1176.12,113.98,1176.12,46.610683246630046
1177.69,111.111,1177.69,43.741683246630046
1179.27,109.354,1179.27,41.98468324663004
1180.84,111.333,1180.84,43.96368324663004
